STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
35108099999,URALSK,01/01/1933,07/04/2020,null,KZ,51.150833,51.543056,38.1
34581099999,URDA,05/01/1969,31/03/1998,null,KZ,48.77417,47.41778,5
34581099999,URDA,05/01/1969,31/03/1998,null,KZ,48.77417,47.41778,5
36639099999,URZHAR,06/03/1953,07/04/2020,null,KZ,47.1166666,81.6166666,491
28307099999,URZUM,13/02/1959,29/11/1963,null,RS,57.1166666,50,165
29906099999,USPENKA,11/08/1959,07/04/2020,null,KZ,52.917,77.417,112
35067599999,UST KAMENOGORSK,23/08/2007,07/04/2020,null,KZ,50.036597,82.494186,286.2
36229099999,UST'- KOKSA,25/02/2009,07/04/2020,null,RS,50.2833333,85.6166666,978
28382099999,UST'-ISIM,01/01/1948,07/04/2020,null,RS,57.6833333,71.1833333,62
29955099999,UST-KABIRZA,01/01/1969,31/12/1994,null,RS,52.817,88.45,416
36403099999,UST-KAMENOGORSK,25/01/1958,02/04/1998,null,KZ,49.967,82.633,292
36213099999,UST-KAN,24/03/1953,31/12/1994,null,RS,50.95,84.917,1037
28755099999,UST-UJSKOJE,19/04/1953,31/12/1963,null,RS,54.267,63.95,104
36246099999,UST-ULAGAN,08/01/1969,14/12/1989,null,RS,50.633,87.933,1937
34871099999,UTTA,26/09/2012,09/05/2015,null,RS,46.3666666,46.0166666,-7.05
29864099999,UYBAT,05/01/1948,07/04/2020,null,RS,53.7166666,90.3666666,525
37735299999,UYTASH,06/07/2004,07/04/2020,null,RS,42.816822,47.652294,3.65
29722099999,UZANIHA,06/07/1955,07/12/1990,null,RS,54.667,81.05,175
38124099999,UZEN,01/01/1981,31/12/1981,null,KZ,43.367,52.833,210
36874099999,UZUNAGAC,25/07/1961,12/08/1985,null,KZ,43.6,76.317,685
29653099999,UZUR,01/02/1948,07/04/2020,null,RS,55.3,89.8166666,387
36803099999,UZYNBULAK,02/04/1974,14/07/1990,null,KZ,45.85,82.183,362
28469099999,VAGAJ,14/01/1948,31/08/1988,null,RS,56.483,67.3,131
28278099999,VAGAY RIVER,01/01/1969,31/12/1994,null,RS,57.917,69.033,100
37508099999,VALE,07/04/1990,24/09/1991,null,GG,41.617,42.867,1097
37704099999,VANADZOR,03/01/1973,07/04/2020,null,AM,40.8166666,44.4361111,1375.95
28396099999,VASISS-IN-OM,06/03/1953,31/08/1988,null,RS,57.367,74.75,101
28833099999,VERHNEURAL'SK,01/07/1935,10/01/1993,null,RS,53.8833333,59.2,403
